player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,ts,od,div
Dewayne Dedmon,C,32,MIA,67,15,1065,7.7,13.6,0.566,0.9,2.2,0.404,6.8,11.4,0.597,3.5,4.7,0.75,4.9,13.2,18.1,2.2,1.1,2,3.3,8.2,19.8,117,105,0.6318611182027062,1.1142857142857143,SE
DeMar DeRozan,PF,32,CHI,76,76,2743,13.8,27.3,0.504,0.9,2.5,0.352,12.9,24.8,0.52,9.3,10.6,0.877,1,6,7,6.7,1.2,0.4,3.2,3.2,37.7,117,115,0.589725941684395,1.017391304347826,C
Hamidou Diallo,SG,23,DET,58,29,1269,10,20.2,0.496,0.9,3.6,0.247,9.2,16.6,0.55,3.5,5.4,0.65,2.7,8,10.7,2.8,2.7,0.7,2.2,5.5,24.5,107,111,0.5426116229624379,0.963963963963964,C
Gorgui Dieng,C,32,ATL,44,3,371,7,14.8,0.473,3.8,9,0.426,3.2,5.8,0.545,2.5,3.4,0.731,4.2,11.8,16,4.5,1.5,1.7,2.6,6.9,20.4,123,111,0.625920471281296,1.1081081081081081,SE
Spencer Dinwiddie,PG,28,TOT,67,51,1980,7.7,18.5,0.416,2.8,8.3,0.339,4.9,10.2,0.479,4.9,6.3,0.774,1.1,5.9,7,8.7,1.1,0.3,2.6,3.8,23.1,114,115,0.5429672809326815,0.991304347826087,NA
Spencer Dinwiddie,PG,28,WAS,44,44,1330,6.9,18.3,0.376,2.6,8.4,0.31,4.3,9.9,0.432,4.3,5.3,0.811,1.3,6.4,7.7,9.5,1,0.3,2.7,4,20.7,109,117,0.5016479255525397,0.9316239316239316,SE
Donte DiVincenzo,SG,25,TOT,42,1,1006,5.6,16.1,0.351,3.5,10.4,0.339,2.1,5.6,0.373,3.3,4,0.843,1.9,6.2,8.1,5.6,2.3,0.4,3.4,3.3,18.2,102,113,0.5095184770436729,0.9026548672566371,NA
Luka Dončić,PG,22,DAL,65,65,2301,14,30.7,0.457,4.4,12.4,0.353,9.6,18.2,0.528,8,10.7,0.744,1.2,11.7,13,12.4,1.6,0.8,6.4,3.2,40.4,110,107,0.57049254405784,1.02803738317757,SW
Luguentz Dort,SG,22,OKC,51,51,1665,8.6,21.2,0.404,3.8,11.4,0.332,4.8,9.8,0.487,4.7,5.6,0.843,1.1,5.1,6.2,2.6,1.3,0.5,2.6,4.4,25.7,104,115,0.5430189317106153,0.9043478260869565,NW
Ayo Dosunmu,SG,22,CHI,77,40,2110,6.4,12.4,0.52,1.6,4.3,0.376,4.8,8.1,0.596,1.2,1.8,0.679,0.6,4.3,5,5.9,1.4,0.7,2.5,4.2,15.7,113,115,0.5950576106731352,0.9826086956521739,C
Andre Drummond,C,28,TOT,73,36,1437,8.5,14.9,0.57,0,0.1,0,8.5,14.8,0.574,3,5.6,0.524,7.9,15.5,23.4,4.5,2.7,2.3,3.9,6.6,19.9,114,102,0.5730246486984565,1.1176470588235294,NA
Andre Drummond,C,28,PHI,49,12,902,7.1,13.2,0.538,0,0.1,0,7.1,13,0.542,2.3,4.5,0.512,7.5,16.4,23.9,5.4,3.1,2.5,4.4,6.7,16.5,110,100,0.5434782608695652,1.1,A
Chris Duarte,SG,24,IND,55,39,1541,8.5,19.7,0.432,3,8.1,0.369,5.5,11.6,0.475,2.9,3.6,0.804,1.3,5.9,7.2,3.6,1.8,0.3,2.9,3,22.9,104,117,0.5379627889494456,0.8888888888888888,C
Kevin Durant,PF,33,BRK,55,55,2047,13.7,26.4,0.518,2.7,7.1,0.383,11,19.3,0.568,8.8,9.7,0.91,0.7,9,9.6,8.3,1.1,1.2,4.5,2.7,38.9,121,112,0.6342115560193035,1.0803571428571428,A
Anthony Edwards,SG,20,MIN,72,72,2466,10.6,24,0.441,4.1,11.6,0.357,6.4,12.4,0.519,4.2,5.4,0.786,1.2,5.4,6.6,5.3,2,0.9,3.7,3.2,29.6,108,112,0.5611161662117076,0.9642857142857143,NW
Kessler Edwards,SF,21,BRK,48,23,987,5.4,13.1,0.412,2.4,6.7,0.353,3,6.4,0.473,0.8,0.9,0.842,2.2,6.3,8.4,1.5,1.4,1.2,2.1,4.2,13.9,100,113,0.5149673977474807,0.8849557522123894,A
CJ Elleby,SF,21,POR,58,28,1174,5,12.8,0.393,1.5,5.2,0.294,3.5,7.6,0.462,2.5,3.5,0.714,2.7,6.7,9.4,3.6,1.5,0.8,2.3,4.8,14.1,102,117,0.4916317991631799,0.8717948717948718,NW
